Average_Ratting,Movie
4.608695652173913,Sanjuro (1962)
4.560509554140127,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)
4.554557700942973,"Shawshank Redemption, The (1994)"
4.524966261808367,"Godfather, The (1972)"
4.52054794520548,"Close Shave, A (1995)"
4.517106001121705,"Usual Suspects, The (1995)"
4.510416666666667,Schindler's List (1993)
4.507936507936508,"Wrong Trousers, The (1993)"
4.491489361702127,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
4.477724741447892,Raiders of the Lost Ark (1981)
4.476190476190476,Rear Window (1954)
4.473913043478261,Paths of Glory (1957)
4.453694416583082,Star Wars: Episode IV - A New Hope (1977)
4.452083333333333,"Third Man, The (1949)"
4.4498902706656915,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
4.426940639269406,Wallace & Gromit: The Best of Aardman Animation (1996)
4.425646551724138,To Kill a Mockingbird (1962)
4.415607985480944,Double Indemnity (1944)
4.412822049131217,Casablanca (1942)
4.410714285714286,"World of Apu, The (Apur Sansar) (1959)"
